"id","gender","age","recognition_performance"
0,NA,4,103
1,0,3,54.2
2,0,3,54
3,0,5,63.3
4,0,5,61.1
5,0,4,62.2
6,0,3,64
7,0,6,65
8,0,3,60.5
9,0,3,68.1
10,0,4,66.9
11,0,3,70.5
12,0,4,69
13,0,4,68.4
14,0,4,81.1
27,0,5,60.1
28,0,3,56
29,0,3,57.3
30,0,3,56.7
31,0,4,55
32,0,5,62.4
33,0,4,60.3
34,0,4,59.4
35,0,3,62
36,0,3,64
37,0,5,63.8
38,0,4,63.3
