subject_id,age,gender,mom_edu,language,music_training,sheet_music,h_c_pre,h_c_post,anxiety,lag_task1,pc_baseline_task1,pc_post1_task1,pc_pre2_task1,pc_post2_task1,pc_final_task1,sdl_baseline_task1,sdl_post1_task1,sdl_pre2_task1,sdl_post2_task1,sdl_final_task1,sda_baseline_task1,sda_post1_task1,sda_pre2_task1,sda_post2_task1,sda_final_task1,lag_task2,pc_baseline_task2,pc_post1_task2,pc_pre2_task2,pc_post2_task2,pc_final_task2
1,18,0,14,100,,,100,100,2.5,1,67,71,88,84,63,226,219,114,89,119,7,4,8,5,10,10,74.07407407,29.62962963,37.03703704,74.07407407,77.77777778
2,,,,,,,97,97.5,4.75,0,72,64,70,71,71,181,168,191,68,62,9,10,10,13,15,15,62.96296296,44.44444444,51.85185185,59.25925926,74.07407407
3,,0,16,100,,,60,75,6.75,1,59,94,86,86,98,246,70,47,62,41,10,8,8,6,8,10,88.88888889,77.77777778,74.07407407,85.18518519,100
4,21,0,16,90,,,75,90,8,15,63,57,94,86,84,290,309,302,188,151,5,5,5,5,6,0,92.59259259,55.55555556,59.25925926,92.59259259,85.18518519
5,19,0,16,44,1,2,65.5,62.5,8,5,55,45,65,49,49,754,392,276,362,291,12,12,4,12,4,5,37.03703704,14.81481481,14.81481481,22.22222222,25.92592593
6,18,0,14,67,2,1,75,80,5.666666667,10,75,55,92,88,100,208,62,98,88,164,4,6,8,4,6,1,100,37.03703704,22.22222222,66.66666667,59.25925926
7,18,0,12,60,,,80,80,2.75,15,92,96,100,84,100,200,72,74,120,81,4,4,4,5,3,0,92.59259259,62.96296296,48.14814815,88.88888889,77.77777778
8,19,0,10,80,2,1,75,87,7.25,0,76,35,67,59,65,146,115,115,72,69,5,5,7,8,5,15,100,51.85185185,70.37037037,81.48148148,70.37037037
9,18,1,12,41,,,70,65,6,10,88,100,94,47,49,35,47,34,39,43,3,3,4,6,5,1,96.2962963,37.03703704,59.25925926,77.77777778,48.14814815
10,21,0,16,93,2,2,30,75,5.5,10,86,100,100,88,100,39,31,36,36,44,4,3,3,4,4,1,100,81.48148148,88.88888889,100,92.59259259
11,,,,,,,75,,3.5,1,76,69,67,82,41,216,386,387,388,334,4,3,3,4,3,10,,,,,
12,22,0,22,49,,,85,86,4.5,5,53,65,71,88,55,334,38,41,46,36,6,6,4,4,3,5,74.07407407,29.62962963,55.55555556,92.59259259,37.03703704
13,20,0,12,50,,,100,100,5.75,0,78,82,43,63,53,687,330,234,469,124,6,5,5,6,7,15,88.88888889,40.74074074,40.74074074,100,100
14,25,0,18,90,,,70,83,5.25,5,80,98,59,71,55,473,54,43,95,37,5,7,5,9,4,5,96.2962963,37.03703704,33.33333333,66.66666667,62.96296296
15,19,0,14,10,,,60,70,6.75,5,100,100,69,65,100,177,104,81,91,63,4,4,4,3,3,5,100,25.92592593,29.62962963,44.44444444,55.55555556
16,,1,12,100,,,85,85,5.75,15,76,67,100,69,75,99,56,44,42,37,9,10,6,6,7,0,85.18518519,48.14814815,51.85185185,51.85185185,88.88888889
17,29,1,22,91,2,2,70,,6,10,67,71,82,65,80,144,46,35,29,30,12,12,6,8,9,1,77.77777778,22.22222222,14.81481481,85.18518519,74.07407407
18,19,1,12,80,2,1,78.5,80,4.75,1,59,88,53,69,100,201,101,96,65,79,8,7,7,10,7,10,100,66.66666667,48.14814815,81.48148148,100
19,20,0,10,100,,,90,85.5,7,5,73,43,59,69,76,320,169,651,181,200,5,3,5,7,5,5,100,33.33333333,55.55555556,74.07407407,66.66666667
20,21,0,12,100,2,1,95,36,10,0,33,67,100,100,69,114,177,181,50,35,5,9,7,5,6,15,100,29.62962963,29.62962963,40.74074074,66.66666667
21,18,0,16,80,,,77.5,49,2.75,15,57,47,10,69,92,69,90,75,68,101,4,6,5,5,5,0,,,,,
22,,,,,,,85,,4.5,5,78,100,100,98,100,44,39,35,33,37,17,5,4,6,6,5,,,,,
23,,,,,,,80,80,2,0,71,74,73,98,82,292,90,98,71,45,6,5,6,5,5,15,,,,,
24,18,0,11,5,2,2,65,67.5,8.25,10,86,65,76,76,100,183,214,100,67,59,4,6,4,4,5,1,96.2962963,18.51851852,40.74074074,74.07407407,70.37037037
25,26,1,16,100,,,80,100,5.666666667,0,52,100,53,65,86,542,233,156,341,246,14,7,8,10,6,15,100,14.81481481,48.14814815,55.55555556,55.55555556
26,18,0,17,20,2,2,81,80,6.5,15,73,100,100,84,100,63,36,59,38,45,9,8,10,11,11,0,81.48148148,74.07407407,66.66666667,66.66666667,70.37037037
27,21,0,14,74,,,80,83.5,5.75,15,47,78,82,80,98,362,192,108,141,82,7,4,4,7,6,0,81.48148148,11.11111111,14.81481481,66.66666667,62.96296296
28,18,0,16,72,1,1,80,95,8,5,100,75,82,100,100,32,40,41,44,35,5,5,5,4,6,5,100,96.2962963,88.88888889,100,85.18518519
29,20,0,14,82,,,95.5,100,2,15,22,65,53,39,76,257,310,234,168,126,10,12,8,8,6,0,70.37037037,81.48148148,7.407407407,74.07407407,70.37037037
30,19,0,12,100,2,2,75,50,,0,51,96,69,73,57,393,70,129,82,49,7,4,7,3,3,15,77.77777778,40.74074074,33.33333333,55.55555556,40.74074074
31,21,1,0,81,,,90.5,100,5,5,35,73,73,82,67,461,527,349,223,138,14,8,5,4,5,5,88.88888889,44.44444444,,29.62962963,29.62962963
32,24,1,,95,,,85,,,1,73,51,59,98,90,286,244,103,129,131,8,5,9,6,6,10,88.88888889,33.33333333,22.22222222,59.25925926,48.14814815
33,18,0,16,95,2,2,80,95,7.25,15,92,100,100,92,76,83,60,46,47,33,4,3,4,4,4,0,85.18518519,48.14814815,70.37037037,88.88888889,88.88888889
34,17,0,8,100,,,92.5,87,8.75,15,41,86,53,98,71,233,130,239,206,244,7,6,6,7,4,0,77.77777778,59.25925926,51.85185185,70.37037037,40.74074074
35,18,0,14,70,2,2,90,98,5,0,46,75,83,75,71,243,86,23,81,60,9,8,6,9,9,15,14.81481481,14.81481481,14.81481481,14.81481481,14.81481481
36,18,0,14,100,,,50,67.5,6.25,0,53,75,88,47,53,257,179,120,221,124,7,3,7,3,5,15,100,40.74074074,59.25925926,59.25925926,59.25925926
37,20,0,22,83,,,75,92.5,9,0,96,100,82,100,100,300,132,179,53,53,4,4,3,3,4,15,100,18.51851852,37.03703704,70.37037037,59.25925926
38,22,0,14,80,,,89.5,91,1.25,0,67,88,96,71,76,329,139,146,183,62,8,8,8,12,10,15,85.18518519,59.25925926,40.74074074,66.66666667,85.18518519
39,17,0,8,87,2,2,80,54,9.25,10,78,71,76,82,100,98,98,82,102,140,6,6,9,4,5,1,81.48148148,18.51851852,22.22222222,18.51851852,33.33333333
40,22,1,12,80,2,1,95,100,2,5,59,73,41,41,61,34,65,53,64,57,7,8,10,10,10,5,18.51851852,14.81481481,14.81481481,18.51851852,18.51851852
41,20,0,12,76,,,85,85,4.75,1,63,55,100,100,100,179,76,77,85,98,6,6,5,6,6,10,48.14814815,29.62962963,40.74074074,55.55555556,59.25925926
42,23,0,5,81,2,2,77.5,76,9,5,90,100,98,88,71,291,194,177,155,147,6,8,8,5,6,5,85.18518519,29.62962963,51.85185185,74.07407407,81.48148148
43,19,0,12,70,,,40,79.5,4.666666667,10,67,100,100,100,100,49,39,30,37,28,6,2,4,5,6,1,92.59259259,14.81481481,25.92592593,14.81481481,25.92592593
